"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Si la pregunta contiene 'saldo', devuelve el saldo correcto.","0","test_responder_saldo","","Sun May 04 17:46:30 CEST 2025","skipped","Sun May 04 17:46:30 CEST 2025","","","",""
"Si la pregunta contiene 'saldo', devuelve el saldo correcto.","0","test_responder_saldo","","Sun May 04 17:43:28 CEST 2025","skipped","Sun May 04 17:43:28 CEST 2025","","","",""
"Si la pregunta contiene 'hipoteca', devuelve el tipo de interés.","0","test_responder_hipoteca","unit","Sun May 04 17:48:17 CEST 2025","passed","Sun May 04 17:48:17 CEST 2025","","test_ia_unit","",""
"Si la pregunta contiene 'saldo', devuelve el saldo correcto.","0","test_responder_saldo","","Sun May 04 17:40:52 CEST 2025","skipped","Sun May 04 17:40:52 CEST 2025","","","",""
"Si la pregunta contiene 'abrir cuenta', devuelve confirmación de apertura.","0","test_responder_abrir_cuenta","unit","Sun May 04 17:48:17 CEST 2025","failed","Sun May 04 17:48:17 CEST 2025","","test_cuentas_unit","",""
"Si la pregunta contiene 'DNI', valida el documento correctamente.","0","test_responder_verificar_dni","unit","Sun May 04 17:48:17 CEST 2025","passed","Sun May 04 17:48:17 CEST 2025","","test_identidad_unit","",""
"Si la pregunta contiene 'saldo', devuelve el saldo correcto.","0","test_responder_saldo","unit","Sun May 04 17:48:17 CEST 2025","passed","Sun May 04 17:48:17 CEST 2025","","test_consultas_unit","",""
"Comprueba que POST /token devuelve un access_token válido.","4","test_obtener_token","unit","Sun May 04 17:48:17 CEST 2025","passed","Sun May 04 17:48:17 CEST 2025","","test_orquestador_unit","",""
